City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
219,Hambantota,LK,79.14,light rain,6.1241,81.1185,Bungalow 63
220,Salinopolis,BR,85.17,clear sky,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
221,Montabaur,DE,82.54,overcast clouds,50.4333,7.8333,Hotel Schlemmer
222,Alta Floresta,BR,89.26,clear sky,-9.8756,-56.0861,Floresta Amazonica Hotel
223,Nieuw Nickerie,SR,82.54,scattered clouds,5.95,-56.9833,Ishwardat Inn
226,San Patricio,US,87.89,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
229,Urumqi,CN,83.35,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
230,Lasa,IT,89.69,broken clouds,46.6166,10.7002,Pension Feldgärtenhof
233,Tanuma,JP,77.29,overcast clouds,36.3667,139.5833,Global action partners
236,Marsassoum,SN,85.69,light rain,12.8275,-15.9806,Djinoubor keur Samba ba
237,Piacabucu,BR,79.54,overcast clouds,-10.4056,-36.4344,Piaçabuçu News
240,Gopalpur,IN,84.87,overcast clouds,19.2667,84.9167,Gopalpur Palm Resort
241,Ruy Barbosa,BR,77.22,broken clouds,-12.2839,-40.4939,Flats em Ruy Barbosa - BA
249,Port Blair,IN,81.09,heavy intensity rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
250,Tabou,CI,78.44,broken clouds,4.423,-7.3528,hotêl doufoulougou
254,Pachino,IT,83.23,clear sky,36.7186,15.0907,Il Veliero
257,Natal,BR,80.82,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
258,Labuhan,ID,77.77,broken clouds,-6.8844,112.2051,DoubleFAG
260,Thatta,PK,86.85,overcast clouds,24.7475,67.9235,We Care Guest House & Shadi lawn
262,Redlands,US,86.74,overcast clouds,34.0556,-117.1825,Dynasty Suites Redlands
263,Menongue,AO,83.32,clear sky,-14.6585,17.691,Ritz Lauca
264,Asfi,MA,82.9,clear sky,32.2994,-9.2372,Hôtel Abda
267,Cape Coast,GH,77.79,scattered clouds,5.1053,-1.2466,Samrit Hotel
269,Ambilobe,MG,77.85,few clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
270,Saint George,US,86.59,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
275,Rumonge,BI,80.87,clear sky,-3.9736,29.4386,Kwetu Guest House
276,Mahajanga,MG,82.76,few clouds,-15.7167,46.3167,Hôtel Restaurant Gourmand Coco Lodge Majunga
277,Stephenville,US,85.87,clear sky,32.2207,-98.2023,La Quinta Inn & Suites by Wyndham Stephenville
279,Kapit,MY,76.21,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
283,Culasi,PH,77.22,overcast clouds,11.4272,122.056,LS Suites
285,Praia Da Vitoria,PT,76.75,broken clouds,38.7333,-27.0667,Hotel Branco I
286,Waru,ID,76.08,scattered clouds,-7.0468,112.4048,PP Al Falahiyah Gowah
289,Cabo San Lucas,MX,87.1,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
291,Zonguldak,TR,76.05,clear sky,41.25,31.8333,Yazioren Koyu Muhtarligi
292,Coueron,FR,76.95,overcast clouds,47.2151,-1.7217,La tremière
295,Aksu,CN,86.79,clear sky,41.1231,80.2644,Pudong Holiday Hotel
296,Houma,US,88.02,clear sky,29.5958,-90.7195,Courtyard by Marriott Houma
297,Sinnamary,GF,82.74,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
298,Dakar,SN,88.68,broken clouds,14.6937,-17.4441,Novotel Dakar
301,Tarauaca,BR,81.84,clear sky,-8.1614,-70.7656,Flat Temporada
302,Xinyu,CN,82.99,overcast clouds,27.8043,114.9334,Xinyu Beihu Hotel
305,Itarsi,IN,77.16,light rain,22.6167,77.75,Hotel Vinayak Residency
307,San Felipe,VE,86.11,clear sky,10.3399,-68.7425,Posada Llovizna Rodríguez
308,Boca Do Acre,BR,85.98,clear sky,-8.7522,-67.3978,Hotel Sao Pedro
309,Banda Aceh,ID,81.77,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
310,Conakry,GN,78.26,light rain,9.538,-13.6773,Riviera Royal Hotel
315,Sussex,US,88.16,few clouds,41.1834,-74.6663,Top O Hill Farm - McDougals
317,Roma,US,83.08,clear sky,43.2128,-75.4557,Wingate By Wyndham Rome
320,Ipatovo,RU,83.7,clear sky,45.7181,42.9036,Ipatovo Inn
324,Westport,US,89.42,clear sky,41.1415,-73.3579,The Westport Inn
