City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,Touros,BR,-5.1989,-35.4608,82.87,62,58,14.27,broken clouds
81,Fethiye,TR,36.6217,29.1164,85.87,33,0,5.82,clear sky
82,Vadgaon,IN,20.9402,74.8712,81.28,77,100,12.28,overcast clouds
83,Maniitsoq,GL,65.4167,-52.9,44.65,95,100,16.8,overcast clouds
84,Port Alfred,ZA,-33.5906,26.891,63.18,73,0,4.0,clear sky
85,Olafsvik,IS,64.8945,-23.7142,52.02,79,96,3.96,overcast clouds
86,San Cristobal,VE,7.7669,-72.225,77.18,70,95,6.06,overcast clouds
87,Korla,CN,41.7597,86.1469,83.62,24,0,6.58,clear sky
88,Lebu,CL,-37.6167,-73.65,49.73,89,79,1.34,broken clouds
89,Nguru,NG,12.8791,10.4526,86.54,47,100,1.45,overcast clouds
90,Georgetown,MY,5.4112,100.3354,85.95,71,20,3.44,few clouds
91,Kavaratti,IN,10.5669,72.642,81.1,82,100,20.98,overcast clouds
92,Auki,SB,-8.7676,160.7034,77.22,88,68,4.25,broken clouds
93,Zhicheng,CN,30.2956,111.5047,80.35,92,98,1.72,overcast clouds
94,Barrow,US,71.2906,-156.7887,42.82,87,75,19.57,broken clouds
95,Esmeralda,CU,21.8525,-78.1169,83.68,72,82,10.07,broken clouds
96,Praia,CV,14.9215,-23.5087,82.94,69,75,3.44,broken clouds
97,Gat,IL,31.61,34.7642,90.39,29,0,13.22,clear sky
98,Lincoln,US,40.8,-96.667,82.13,66,0,1.99,clear sky
99,Esperance,AU,-33.8667,121.9,53.44,76,58,20.94,broken clouds
100,Qaanaaq,GL,77.484,-69.3632,45.46,72,99,5.93,overcast clouds
101,Severo-Kurilsk,RU,50.6789,156.125,52.18,97,100,20.69,light rain
102,Morros,BR,-9.4467,-46.3003,85.17,34,5,10.76,clear sky
103,Nova Olimpia,BR,-14.7972,-57.2881,89.6,26,3,6.2,clear sky
104,Adrar,MR,20.5022,-10.0711,100.72,24,2,8.75,clear sky
105,Lima,PE,-12.0432,-77.0282,59.9,85,75,10.36,broken clouds
106,Punta Arenas,CL,-53.15,-70.9167,32.11,93,75,27.63,broken clouds
107,Osorno,CL,-40.5667,-73.15,37.26,100,100,2.3,mist
108,Pelym,RU,61.0108,61.9978,67.62,47,75,5.53,broken clouds
109,Cayenne,GF,4.9333,-52.3333,84.24,1,100,2.3,overcast clouds
110,Provideniya,RU,64.3833,-173.3,39.43,75,100,9.28,overcast clouds
111,Cape Town,ZA,-33.9258,18.4232,65.88,61,0,6.91,clear sky
112,Chokurdakh,RU,70.6333,147.9167,39.4,51,100,8.79,overcast clouds
113,Axim,GH,4.8699,-2.2405,79.48,58,60,7.49,broken clouds
114,Saskylakh,RU,71.9167,114.0833,54.91,61,96,14.43,overcast clouds
115,Mount Gambier,AU,-37.8333,140.7667,46.65,84,48,8.5,scattered clouds
116,Igarka,RU,67.4667,86.5833,58.35,69,71,6.17,broken clouds
117,Deputatskiy,RU,69.3,139.9,40.44,85,3,6.31,clear sky
118,Hermanus,ZA,-34.4187,19.2345,60.8,67,9,5.86,clear sky
119,Tiksi,RU,71.6872,128.8694,40.69,84,10,7.85,clear sky
120,Torbay,CA,47.6666,-52.7314,67.28,77,100,23.02,overcast clouds
121,Tasiilaq,GL,65.6145,-37.6368,41.74,71,96,4.52,overcast clouds
122,Bull Savanna,JM,17.8868,-77.5902,83.39,62,3,11.27,clear sky
123,Mehran,IR,33.1222,46.1646,114.82,4,0,24.7,clear sky
124,Moree,AU,-29.4667,149.85,55.83,66,100,13.2,overcast clouds
125,Tessalit,ML,20.1986,1.0114,99.39,23,9,0.4,clear sky
126,Vanimo,PG,-2.6741,141.3028,79.18,83,100,3.06,heavy intensity rain
127,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,78.6,89,40,1.14,scattered clouds
128,Ballina,AU,-28.8667,153.5667,58.01,99,100,19.04,moderate rain
129,Keningau,MY,5.3378,116.1602,72.32,97,94,1.21,overcast clouds
130,Khatanga,RU,71.9667,102.5,54.97,61,100,9.17,overcast clouds
131,Ilulissat,GL,69.2167,-51.1,47.12,82,100,7.07,overcast clouds
132,Clyde River,CA,70.4692,-68.5914,39.43,93,100,20.71,light rain
133,Atuona,PF,-9.8,-139.0333,77.0,76,12,14.58,few clouds
134,Bandarbeyla,SO,9.4942,50.8122,80.02,66,97,31.21,overcast clouds
135,Doha,QA,25.2867,51.5333,100.38,50,0,9.22,clear sky
136,Kaseda,JP,31.4167,130.3167,80.47,92,100,13.78,overcast clouds
137,Yerbogachen,RU,61.2767,108.0108,60.87,74,100,4.83,overcast clouds
138,Vestmannaeyjar,IS,63.4427,-20.2734,52.79,93,100,9.22,drizzle
139,Iqaluit,CA,63.7506,-68.5145,38.93,100,100,8.05,light intensity drizzle
140,East London,ZA,-33.0153,27.9116,63.54,67,0,13.8,clear sky
141,Ahuimanu,US,21.4447,-157.8378,76.71,83,40,11.5,scattered clouds
142,Hilo,US,19.7297,-155.09,74.28,99,49,2.37,scattered clouds
143,Riedlingen,DE,48.1545,9.4756,84.13,47,70,2.21,broken clouds
144,Asau,RO,46.4333,26.4,83.32,24,0,10.2,clear sky
145,Camana,PE,-16.6228,-72.7111,60.84,82,100,5.77,overcast clouds
146,Saint-Philippe,RE,-21.3585,55.7679,71.22,79,42,15.26,light rain
147,Warrnambool,AU,-38.3833,142.4833,48.81,82,3,12.39,clear sky
148,Tuatapere,NZ,-46.1333,167.6833,44.58,87,100,2.57,overcast clouds
149,Tuktoyaktuk,CA,69.4541,-133.0374,44.28,91,100,3.38,overcast clouds
150,Viransehir,TR,37.2353,39.7631,100.8,12,0,15.88,clear sky
151,Shingu,JP,33.7333,135.9833,77.79,91,81,4.54,broken clouds
152,Kabo,CF,7.6994,18.629,82.31,74,100,2.64,light rain
153,Coihaique,CL,-45.5752,-72.0662,33.75,86,75,10.36,light snow
154,Shitanjing,CN,39.2342,106.3439,57.65,78,100,8.14,overcast clouds
155,Moctezuma,MX,29.8,-109.6667,76.51,76,98,2.71,overcast clouds
156,Bullhead City,US,35.1478,-114.5683,95.02,24,0,0.0,clear sky
157,Faanui,PF,-16.4833,-151.75,76.82,74,4,13.65,light rain
158,San,ML,13.3034,-4.8956,89.85,47,69,8.57,broken clouds
159,Puerto Narino,CO,-3.7703,-70.3831,75.18,91,93,3.04,overcast clouds
160,Prisacani,RO,47.0833,27.8833,88.54,20,0,13.53,clear sky
161,Haines Junction,CA,60.7522,-137.5108,43.57,86,92,2.64,overcast clouds
162,Riyadh,SA,24.6877,46.7219,110.82,5,61,17.65,broken clouds
163,Bethel,US,41.3712,-73.414,87.55,77,85,3.0,overcast clouds
164,Manado,ID,1.487,124.8455,75.97,94,40,1.14,scattered clouds
165,Port Hardy,CA,50.6996,-127.4199,52.77,89,5,2.57,clear sky
166,Hithadhoo,MV,-0.6,73.0833,81.82,70,100,5.79,overcast clouds
167,Kitimat,CA,54.0524,-128.6534,58.91,30,100,1.39,overcast clouds
168,Alblasserdam,NL,51.8599,4.6632,66.06,85,100,13.8,overcast clouds
169,Klaksvik,FO,62.2266,-6.589,54.52,85,10,12.5,clear sky
170,Petatlan,MX,17.5167,-101.2667,83.66,73,85,3.74,overcast clouds
171,Zemio,CF,5.0314,25.1361,82.18,69,100,4.9,light rain
172,Boende,CD,-0.2167,20.8667,85.26,58,94,1.34,light rain
173,Inuvik,CA,68.3499,-133.7218,52.56,100,75,3.44,light rain
174,Palmer,US,42.1584,-72.3287,86.58,65,81,1.99,broken clouds
175,Sao Filipe,CV,14.8961,-24.4956,76.14,86,58,7.9,broken clouds
176,Jinji,CN,23.2281,110.8261,80.94,84,2,1.5,clear sky
177,Acapulco,MX,16.8634,-99.8901,81.9,81,87,3.42,overcast clouds
178,Guerrero Negro,MX,27.9769,-114.0611,68.0,84,97,15.77,overcast clouds
179,Juneau,US,58.3019,-134.4197,53.83,99,100,3.15,light rain
180,Pisco,PE,-13.7,-76.2167,60.03,86,22,1.45,few clouds
181,Bushehr,IR,28.9684,50.8385,93.54,65,0,11.59,clear sky
182,Zhigansk,RU,66.7697,123.3711,57.99,95,100,8.55,light rain
183,Biak,ID,-0.9131,122.8766,75.99,85,32,5.68,scattered clouds
184,Verkhnyaya Inta,RU,65.9811,60.3094,64.42,54,100,10.51,overcast clouds
185,Launceston,AU,-41.45,147.1667,41.34,85,2,5.75,clear sky
186,Bac Lieu,VN,9.285,105.7244,77.99,89,88,6.38,overcast clouds
187,Agadir,MA,30.4202,-9.5982,102.65,26,43,12.73,scattered clouds
188,Leningradskiy,RU,69.3833,178.4167,32.97,98,100,14.16,light snow
189,Hasaki,JP,35.7333,140.8333,79.29,91,100,13.2,overcast clouds
190,Xuddur,SO,4.1213,43.8894,86.02,34,38,23.82,scattered clouds
191,Mandan,US,46.8267,-100.8896,69.96,68,0,6.91,clear sky
192,Vanderhoof,CA,54.0166,-124.0198,55.67,71,26,2.77,scattered clouds
193,Constitucion,CL,-35.3333,-72.4167,54.03,79,46,4.65,scattered clouds
194,Union,US,40.6334,-74.2663,90.55,69,0,5.99,clear sky
195,Lipin Bor,RU,60.2622,37.9763,72.91,50,15,3.78,few clouds
196,Ancud,CL,-41.8697,-73.8203,41.23,73,100,11.5,light rain
197,Bukachacha,RU,52.9833,116.9167,64.42,87,99,1.63,overcast clouds
198,Cidreira,BR,-30.1811,-50.2056,68.58,77,100,5.1,overcast clouds
199,Souillac,MU,-20.5167,57.5167,71.98,68,75,16.11,broken clouds
200,Puerto Madryn,AR,-42.7692,-65.0385,45.23,41,95,23.06,overcast clouds
201,Savannah Bight,HN,16.45,-85.85,81.79,78,16,16.11,few clouds
202,Ponta Do Sol,PT,32.6667,-17.1,82.71,68,0,4.7,clear sky
203,Les Cayes,HT,18.2,-73.75,85.44,62,100,5.57,overcast clouds
204,Oranjemund,NA,-28.55,16.4333,60.46,58,0,12.75,clear sky
205,Weligama,LK,5.9667,80.4167,78.76,86,98,15.48,moderate rain
206,Yulara,AU,-25.2406,130.9889,53.51,36,3,9.48,clear sky
207,Broome,US,42.2506,-75.833,84.88,64,0,10.36,clear sky
208,Ust-Omchug,RU,61.15,149.6333,58.08,74,93,5.14,overcast clouds
